File data/raw/yellow/2025/01/yellow_tripdata_2025_01.parquet already exists, skipping...
File data/raw/yellow/2025/02/yellow_tripdata_2025_02.parquet already exists, skipping...
File data/raw/yellow/2025/03/yellow_tripdata_2025_03.parquet already exists, skipping...
File data/raw/yellow/2025/04/yellow_tripdata_2025_04.parquet already exists, skipping...
File data/raw/yellow/2025/05/yellow_tripdata_2025_05.parquet already exists, skipping...
File data/raw/yellow/2025/06/yellow_tripdata_2025_06.parquet already exists, skipping...
File data/raw/yellow/2025/07/yellow_tripdata_2025_07.parquet already exists, skipping...
File data/raw/yellow/2025/08/yellow_tripdata_2025_08.parquet already exists, skipping...
File data/raw/yellow/2025/09/yellow_tripdata_2025_09.parquet already exists, skipping...
File data/raw/yellow/2025/10/yellow_tripdata_2025_10.parquet already exists, skipping...
File data/raw/yellow/2025/11/yellow_tripdata_2025_11.parquet already exists, skipping...
File data/raw/yellow/2025/12/yellow_tripdata_2025_12.parquet already exists, skipping...
